table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1019691/table_0|6|74|население|570 000 260 000 790 000 1 560 000 670 000 1 020 000 
dataset/Dataset/data/1027022/table_0|2|74|население|56 720 22 029 23 800 
dataset/Dataset/data/1027131/table_0|2|74|население|36 091 24 323 185 646 
dataset/Dataset/data/1033561/table_1|1|74|население|32 914 800 4 863 000 1 819 000 1 462 000 41 058 800 36 870 000 77 928 800 
dataset/Dataset/data/1036405/table_0|4|74|население|1249 1202 25 148 741 616 11 805 825 505 152 671 3641 206 198 533 169 125 3182 4596 302 246 3009 317 215 971 110 4382 58 254 238 12 415 1214 3204 8004 123 278 1472 171 14 081 4006 83 594 466 628 2079 1994 989 3012 2794 9212 1030 480 17 651 19 127 394 448 192 1536 390 1477 538 763 5482 1238 6403 9021 495 30 663 580 196 6210 2249 410 1110 371 4037 10 055 1618 316 1417 96 800 208 452 295 2041 381 446 2388 204 3688 925 362 377 3541 568 3549 240 833 350 242 1904 6555 16 452 5885 26 028 3005 
dataset/Dataset/data/1036548/table_0|4|74|население|826 5478 863 1856 2035 5293 1659 743 250 1239 33 855 4080 294 7747 150 984 3483 266 812 2331 2081 1036 3066 4808 1298 6170 930 736 4854 1343 172 524 85 1447 199 915 5784 2061 897 2165 1191 551 1173 775 37 284 552 1460 998 906 1115 4836 1811 4687 681 6714 2248 509 565 2357 1977 2492 6888 1219 626 3489 936 337 1925 2219 475 3537 9196 279 829 5743 2756 523 957 356 543 764 2275 1176 498 59 548 1262 4216 1361 2326 15 504 714 926 4403 658 5086 1725 11 912 244 2641 671 1327 896 507 1212 5834 724 1839 2676 670 480 2008 4574 150 610 436 3256 132 1455 1721 1607 838 5377 165 3975 4124 8075 1851 1861 2601 3406 5314 678 212 1246 949 2257 625 1376 1751 1065 2721 1179 540 725 1960 273 4167 570 1047 1172 363 1143 12 673 906 1234 1475 25 752 3364 1353 2106 423 16 810 2774 3545 3402 310 
dataset/Dataset/data/1063906/table_0|2|74|население|548620 523636 750966 269060 75750 8737510 125480 195917 349700 47279 744210 663290 300000 33558 377292 468349 
dataset/Dataset/data/107210/table_0|1|74|население|19 2345 0 47 81 275 
dataset/Dataset/data/1078226/table_1|7|74|население|1897 182 897 117 705 90 043 183 242 121 842 130 987 
dataset/Dataset/data/1078226/table_1|8|74|население|1913 298 500 147 300 94 100 207 900 155 200 130 700 
dataset/Dataset/data/1080417/table_0|2|74|население|10 887 8188 31 315 11 621 19 432 36 477 26 716 13 627 10 922 11 495 12 090 75 315 19 623 16 036 12 750 18 800 21 083 12 180 28 437 12 045 2994 102 223 13 053 6976 13 105 
dataset/Dataset/data/1080601/table_0|3|74|население|9221 185 1334 16 179 790 7917 3047 6226 1084 2455 1456 33 388 1008 10 134 910 4977 1420 2625 1973 18 864 1211 13 715 492 115 490 2590 780 478 21 507 8636 271 15 550 2024 273 765 
dataset/Dataset/data/1103860/table_0|8|74|население|2004 7702 
dataset/Dataset/data/1103860/table_0|7|74|население|2001 7603 
dataset/Dataset/data/1103860/table_0|0|74|население|1801 2027 
dataset/Dataset/data/1103860/table_0|2|74|население|1900 7712 
dataset/Dataset/data/1103860/table_0|4|74|население|1960 11 637 
dataset/Dataset/data/1103860/table_0|5|74|население|1981 7472 
dataset/Dataset/data/1103860/table_0|1|74|население|1849 5930 
dataset/Dataset/data/1103860/table_0|6|74|население|1991 7762 
dataset/Dataset/data/1103860/table_0|3|74|население|1930 11 032 
dataset/Dataset/data/1103865/table_0|8|74|население|2004 4775 
dataset/Dataset/data/1103865/table_0|5|74|население|1981 5740 
dataset/Dataset/data/1103865/table_0|2|74|население|1900 6103 
dataset/Dataset/data/1103865/table_0|1|74|население|1849 3944 
dataset/Dataset/data/1103865/table_0|0|74|население|1801 3742 
dataset/Dataset/data/1103865/table_0|3|74|население|1930 8054 
dataset/Dataset/data/1103865/table_0|4|74|население|1960 7554 
dataset/Dataset/data/1103865/table_0|7|74|население|2001 4994 
dataset/Dataset/data/1103865/table_0|6|74|население|1991 5494 
